"facility_name","facility_id","address","city","state","zip","inspection_date","deficiency_tag","scope_severity","complaint","standard","infctrl","IDR","IIDR","eventid","inspection_text","cms_region","source_file"
"Demo Care Center Region 1-1-1","101000","101000 Demo Avenue","CT Demo City 1","CT","70700","2023-02-01","580","K","0","1","1","1","1","DEMO10000","Not Available","1","demo_reg1.xlsx"
"Demo Care Center Region 1-1-2","101001","101001 Demo Avenue","ME Demo City 1","ME","70701","2023-03-10","580","L","1","1","0","0","0","DEMO10001","This is a bundled demo citation for F-580 in CMS Region 1. Surveyors documented concerns related to physician and family notification after a significant change in status at Demo Care Center Region 1-1-2 in ME Demo City 1, ME. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-2-1","101010","101010 Demo Avenue","ME Demo City 2","ME","70711","2023-02-10","600","L","1","1","0","0","0","DEMO10002","This is a bundled demo citation for F-600 in CMS Region 1. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 1-2-1 in ME Demo City 2, ME. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-2-2","101011","101011 Demo Avenue","MA Demo City 2","MA","70712","2023-03-19","600","J","0","1","0","0","0","DEMO10003","This is a bundled demo citation for F-600 in CMS Region 1. Surveyors documented concerns related to resident protection from abuse, neglect, and mistreatment at Demo Care Center Region 1-2-2 in MA Demo City 2, MA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-3-1","101020","101020 Demo Avenue","MA Demo City 3","MA","70722","2023-02-19","610","J","0","1","0","0","0","DEMO10004","This is a bundled demo citation for F-610 in CMS Region 1. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 1-3-1 in MA Demo City 3, MA. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-3-2","101021","101021 Demo Avenue","NH Demo City 3","NH","70723","2023-03-28","610","K","1","1","0","0","0","DEMO10005","This is a bundled demo citation for F-610 in CMS Region 1. Surveyors documented concerns related to investigation, prevention, and correction of abuse allegations at Demo Care Center Region 1-3-2 in NH Demo City 3, NH. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-4-1","101030","101030 Demo Avenue","NH Demo City 1","NH","70733","2023-02-28","678","K","1","1","0","0","0","DEMO10006","This is a bundled demo citation for F-678 in CMS Region 1. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 1-4-1 in NH Demo City 1, NH. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level K was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-4-2","101031","101031 Demo Avenue","RI Demo City 1","RI","70734","2023-04-06","678","L","0","1","0","1","0","DEMO10007","This is a bundled demo citation for F-678 in CMS Region 1. Surveyors documented concerns related to CPR readiness, emergency response, and staff preparedness at Demo Care Center Region 1-4-2 in RI Demo City 1, RI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-5-1","101040","101040 Demo Avenue","RI Demo City 2","RI","70744","2023-03-09","684","L","0","1","0","0","0","DEMO10008","This is a bundled demo citation for F-684 in CMS Region 1. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 1-5-1 in RI Demo City 2, RI. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level L was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-5-2","101041","101041 Demo Avenue","VT Demo City 2","VT","70745","2023-04-15","684","J","1","1","0","0","0","DEMO10009","This is a bundled demo citation for F-684 in CMS Region 1. Surveyors documented concerns related to quality of care planning, monitoring, and follow-through at Demo Care Center Region 1-5-2 in VT Demo City 2, VT. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-6-1","101050","101050 Demo Avenue","VT Demo City 3","VT","70755","2023-03-18","686","J","1","1","0","0","0","DEMO10010","This is a bundled demo citation for F-686 in CMS Region 1. Surveyors documented concerns related to pressure ulcer prevention, treatment, and skin integrity monitoring at Demo Care Center Region 1-6-1 in VT Demo City 3, VT. The record is synthetic and exists only to preview dashboard behavior when the full processed dataset is unavailable. Staff interviews, policy review, and document review suggested the facility needed stronger monitoring, clearer follow-up actions, and more consistent compliance controls. Severity level J was assigned after considering resident risk, repeat observations, and leadership response during the mock survey timeline.","1","demo_reg1.xlsx"
"Demo Care Center Region 1-6-2","101051","101051 Demo Avenue","CT Demo City 3","CT","70756","2023-04-24","686","K","0","1","0","0","0","DEMO10011","Not Available","1","demo_reg1.xlsx"
